,year1_hba1c_mean,year2_reduction_40_ge,year1_mean,year1_aceiarb_coverage,year1_sglt2_coverage,year1_glp1_coverage
year1_hba1c_mean,0.0,1.0,1.0,1.0,1.0,1.0
year2_reduction_40_ge,0.0,0.0,0.0,0.0,0.0,0.0
year1_mean,0.0,0.0,0.0,0.0,0.0,0.0
year1_aceiarb_coverage,0.0,0.0,0.0,0.0,0.0,0.0
year1_sglt2_coverage,0.0,0.0,0.0,0.0,0.0,0.0
year1_glp1_coverage,0.0,0.0,0.0,0.0,0.0,0.0
